Year	Month	Date	Production	Product2014
1988	April	1988.29	431.00	
1988	May	1988.38	437.42	
1988	June	1988.46	448.00	
1988	July	1988.54	442.26	
1988	Aug	1988.63	422.90	
1988	Sept	1988.71	429.00	
1988	Oct	1988.79	414.19	
1988	Nov	1988.88	411.00	
1988	Dec	1988.96	417.10	
1989	Jan	1989.04	424.84	
1989	Feb	1989.13	436.07	
1989	March	1989.21	435.48	
1989	April	1989.29	438.00	
1989	May	1989.38	437.42	
1989	June	1989.46	438.00	
1989	July	1989.54	421.94	
1989	Aug	1989.63	420.00	
1989	Sept	1989.71	413.00	
1989	Oct	1989.79	402.58	
1989	Nov	1989.88	406.00	
1989	Dec	1989.96	409.35	
1990	Jan	1990.04	420.97	
1990	Feb	1990.13	433.93	
1990	March	1990.21	432.58	
1990	April	1990.29	438.00	
1990	May	1990.38	439.35	
1990	June	1990.46	443.00	
1990	July	1990.54	444.19	
1990	Aug	1990.63	442.26	
1990	Sept	1990.71	428.00	
1990	Oct	1990.79	413.23	
1990	Nov	1990.88	412.00	
1990	Dec	1990.96	415.16	
1991	Jan	1991.04	426.77	
1991	Feb	1991.13	438.21	
1991	March	1991.21	438.39	
1991	April	1991.29	441.00	
1991	May	1991.38	442.26	
1991	June	1991.46	445.00	
1991	July	1991.54	438.39	
1991	Aug	1991.63	431.61	
1991	Sept	1991.71	431.00	
1991	Oct	1991.79	420.00	
1991	Nov	1991.88	414.00	
1991	Dec	1991.96	418.06	
1992	Jan	1992.04	443.23	
1992	Feb	1992.13	439.66	
1992	March	1992.21	450.00	
1992	April	1992.29	454.00	
1992	May	1992.38	459.68	
1992	June	1992.46	462.00	
1992	July	1992.54	453.87	
1992	Aug	1992.63	444.19	
1992	Sept	1992.71	444.00	
1992	Oct	1992.79	428.71	
1992	Nov	1992.88	429.00	
1992	Dec	1992.96	437.42	
1993	Jan	1993.04	443.23	
1993	Feb	1993.13	455.36	
1993	March	1993.21	450.00	
1993	April	1993.29	454.00	
1993	May	1993.38	459.68	
1993	June	1993.46	462.00	
1993	July	1993.54	453.87	
1993	Aug	1993.63	444.19	
1993	Sept	1993.71	444.00	
1993	Oct	1993.79	428.71	
1993	Nov	1993.88	429.00	
1993	Dec	1993.96	437.42	
1994	Jan	1994.04	436.45	
1994	Feb	1994.13	439.29	
1994	March	1994.21	454.84	
1994	April	1994.29	464.00	
1994	May	1994.38	483.87	
1994	June	1994.46	476.00	
1994	July	1994.54	466.45	
1994	Aug	1994.63	461.61	
1994	Sept	1994.71	451.00	
1994	Oct	1994.79	446.13	
1994	Nov	1994.88	442.00	
1994	Dec	1994.96	446.13	
1995	Jan	1995.04	452.90	
1995	Feb	1995.13	459.64	
1995	March	1995.21	470.32	
1995	April	1995.29	469.00	
1995	May	1995.38	476.13	
1995	June	1995.46	478.00	
1995	July	1995.54	465.48	
1995	Aug	1995.63	450.00	
1995	Sept	1995.71	448.00	
1995	Oct	1995.79	441.29	
1995	Nov	1995.88	437.00	
1995	Dec	1995.96	441.29	
1996	Jan	1996.04	448.06	
1996	Feb	1996.13	455.17	
1996	March	1996.21	461.61	
1996	April	1996.29	464.00	
1996	May	1996.38	457.74	
1996	June	1996.46	446.00	
1996	July	1996.54	439.35	
1996	Aug	1996.63	435.48	
1996	Sept	1996.71	433.00	
1996	Oct	1996.79	434.52	
1996	Nov	1996.88	430.00	
1996	Dec	1996.96	436.45	
1997	Jan	1997.04	445.16	
1997	Feb	1997.13	455.36	
1997	March	1997.21	450.00	
1997	April	1997.29	454.00	
1997	May	1997.38	458.71	
1997	June	1997.46	462.00	
1997	July	1997.54	445.16	
1997	Aug	1997.63	447.10	
1997	Sept	1997.71	435.00	
1997	Oct	1997.79	429.68	
1997	Nov	1997.88	426.00	
1997	Dec	1997.96	428.71	
1998	Jan	1998.04	426.77	
1998	Feb	1998.13	435.00	
1998	March	1998.21	439.35	
1998	April	1998.29	446.00	
1998	May	1998.38	452.90	
1998	June	1998.46	456.00	
1998	July	1998.54	455.81	
1998	Aug	1998.63	444.19	
1998	Sept	1998.71	438.00	
1998	Oct	1998.79	426.77	
1998	Nov	1998.88	431.00	
1998	Dec	1998.96	439.35	
1999	Jan	1999.04	427.74	
1999	Feb	1999.13	439.29	
1999	March	1999.21	448.06	
1999	April	1999.29	454.00	
1999	May	1999.38	470.32	
1999	June	1999.46	465.00	
1999	July	1999.54	458.71	
1999	Aug	1999.63	447.10	
1999	Sept	1999.71	444.00	
1999	Oct	1999.79	439.35	
1999	Nov	1999.88	441.00	
1999	Dec	1999.96	445.16	
2000	Jan	2000.04	458.71	
2000	Feb	2000.13	462.41	
2000	March	2000.21	469.35	
2000	April	2000.29	481.00	
2000	May	2000.38	478.06	
2000	June	2000.46	485.00	
2000	July	2000.54	473.23	
2000	Aug	2000.63	469.35	
2000	Sept	2000.71	455.00	
2000	Oct	2000.79	461.61	
2000	Nov	2000.88	457.00	
2000	Dec	2000.96	460.65	
2001	Jan	2001.04	466.45	
2001	Feb	2001.13	478.93	
2001	March	2001.21	488.71	
2001	April	2001.29	492.00	
2001	May	2001.38	501.29	
2001	June	2001.46	505.00	
2001	July	2001.54	481.94	
2001	Aug	2001.63	473.23	
